pipeline,f1_macro,f1_weighted,accuracy,model_path
morphological,0.43437130029540677,0.6464475101077166,0.5971830985915493,models\svm_morphological_model.pkl
directional,0.588720077192887,0.7952196089950512,0.7830985915492957,models\svm_directional_model.pkl
