Computer Vision,Model,Accuracy,F1-Score (Weighted),F1-Score (Macro),Inference_Speed (FPS)
Morphological,Random Forest,0.6281690140845071,0.6648241431951548,0.4531242623205162,45.2
Directional,Random Forest,0.6535211267605634,0.7037464663307607,0.4867909148520635,60.1
Morphological,SVM,0.6197183098591549,0.6627831263824182,0.4492482922295627,40.5
Directional,SVM,0.7633802816901408,0.7802022404799684,0.5431506762042152,55.3
