,precision,recall,f1-score,support
defect_free,0.9071310116086235,0.8300455235204856,0.866877971473851,659.0
hole,0.24193548387096775,0.25862068965517243,0.25,58.0
horizontal,0.26666666666666666,0.2857142857142857,0.27586206896551724,14.0
lines,0.4927536231884058,0.53125,0.5112781954887218,64.0
stain,0.5314009661835749,0.6875,0.5994550408719346,160.0
vertical,0.5384615384615384,0.5,0.5185185185185185,14.0
accuracy,0.739938080495356,0.739938080495356,0.739938080495356,0.739938080495356
macro avg,0.4963915483299628,0.5155217498149905,0.5036652992197571,969.0
weighted avg,0.763326910278456,0.739938080495356,0.7487394452805284,969.0
