,defect_free,hole,horizontal,lines,stain,vertical
defect_free,313,0,0,1,20,0
hole,2,10,1,10,6,0
horizontal,0,4,2,0,1,0
lines,5,9,0,15,3,0
stain,13,6,0,0,61,0
vertical,0,2,1,0,0,4
