pipeline,f1_weighted,accuracy,f1_macro,model_path
morphological,0.6648241431951548,0.6281690140845071,0.4531242623205162,models\rf_morphological_model.pkl
directional,0.7037464663307607,0.6535211267605634,0.48679091485206355,models\rf_directional_model.pkl
