,precision,recall,f1-score,support
defect_free,0.8327137546468402,0.6706586826347305,0.7429519071310116,334.0
hole,0.16,0.13793103448275862,0.14814814814814814,29.0
horizontal,0.04,0.14285714285714285,0.0625,7.0
lines,0.391304347826087,0.28125,0.32727272727272727,32.0
stain,0.4295774647887324,0.7625,0.5495495495495496,80.0
vertical,0.8,0.5714285714285714,0.6666666666666666,7.0
accuracy,0.6196319018404908,0.6196319018404908,0.6196319018404908,0.6196319018404908
macro avg,0.4422659278769432,0.4277709052338672,0.41618149979468383,489.0
weighted avg,0.686164274776233,0.6196319018404908,0.6380022314548306,489.0
